Episode,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7,Q-8,Q-9
1,0.0930751237002286,-0.03999190438877453,-0.034205041148445824,0.04124315760352395,-0.04105835611169988,-0.055067192424427376,-0.054038486697457054,-0.06190464171496304,0.00012745073234493083
2,0.008969558007789381,-0.003638564411437873,-0.0031288767402822323,0.0004292206387176658,-0.003570193819927447,-0.005736568208896752,-0.003682340636397853,-0.006309156616528829,-0.0011211057955568488
3,0.006507983165127891,-0.034879635487283976,0.01754259637423924,-0.0006848777245197977,0.017665704446179525,-0.0020393356680870056,-0.004895976079361779,-0.031085810491016934,0.03544698655605316
4,0.017146096527576447,-0.03183717012405395,0.017622765600681305,-0.0004247303120791912,0.014130911231040955,-0.013850168138742448,0.0009292391128838063,-0.018104049563407897,0.026985588669776916
5,0.03128768255313238,-0.007383118228365977,0.009509612806141376,-0.00019066776925077042,0.004403968807309866,-0.02400525442014138,-0.007193036726675928,-0.03334406421830257,0.007070955354720354
6,-0.5374364521768358,-0.5255604717466567,0.4773029883702596,0.0298762536711163,0.3978713419702318,0.1375998490386539,-0.028183605935838487,-0.20286944839689466,0.549753745396932
7,0.07452678680419922,-0.014148006836573282,-0.03217461042933994,-0.01441495782799191,-0.022126427955097623,-0.05294414030181037,-0.00022282451391220093,-0.03466550177998013,-0.011211663484573364
8,0.012668841270109017,0.006616540749867757,0.005121225242813428,0.00015551863859097163,0.008814610540866852,-0.013907820483048757,-0.002629120647907257,-0.00904173453648885,0.010041849315166473
9,0.1438992298566378,0.007107490530380836,-0.04321866310559786,0.008678647188039927,-0.027864933013916016,-0.10142907729515663,-0.012177216318937449,-0.09769597420325646,-0.02004490219629728
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.9293795857164594e-05,0.014347144299083285,0.019234827823109098,0.0023146317236953312,0.010880250069830153,-0.004865336749288771,0.001432300027873781,-0.0005452115502622393,0.014997927678955926
13,0.010448187589645386,0.015391254425048828,0.014558815956115722,0.0018223127350211143,0.0033131424337625504,-0.014651016891002655,-0.0029403109103441237,-0.00666053295135498,0.006155309453606606
14,0.01498028406730065,-0.002521889140972724,0.026460461891614474,0.0014473057996768218,0.00866908236191823,-0.01777900755405426,-0.002298008077419721,-0.00829532857124622,0.0257911177781912
15,0.03772955488127012,0.011618611331169423,0.017617695749952242,-0.006852992881949131,0.013240430217522841,-0.0373793883392444,-0.006853694239488015,-0.027471778771051995,0.020549941521424513
16,0.004541087429970503,0.005644818302243948,0.013273272663354874,-0.0021482191514223814,0.009578559547662735,-0.008506974205374718,-0.004069548100233078,-0.0075069935992360115,0.010664050467312336
17,-0.08020689631147045,-0.011615950082029616,0.061131343977259736,-0.0028705011521066937,0.025673791766166687,0.00318138424440154,-0.008171969226428441,-0.02659110365701573,0.04774197443787541
18,-0.014371498177448908,0.046707943081855774,0.03924757142861684,0.004088973626494408,0.031572796404361725,-0.014979669948418935,-0.019468218833208085,-0.006260823458433151,0.030141123632589976
19,0.07411033447299685,0.15732798831803457,-0.04103606699832848,0.11925092765263148,-0.03353986742773226,-0.1696651577949524,-0.052906334400177,-0.2380814892905099,0.016353863158396313
20,-0.00640755662551293,0.020770318233049832,0.022906667911089383,0.0028914281955132117,0.015190765261650085,-0.00430473112143003,-0.002383344735090549,-0.00019251985045579763,0.017658964945719793
21,-0.00965166324749589,0.08760977350175381,0.06428255140781403,-0.0004684393061324954,0.06532846204936504,-0.13826384022831917,-0.06270402623340487,-0.11048117373138666,0.1152838347479701
22,-0.16173910856246948,-0.01912969946861267,-0.06476860880851745,-0.02933663234114647,-0.0009615325927734375,-0.05250079393386841,-0.00822936773300171,-0.041263980865478514,0.01112505704164505
23,-0.025383186340332032,0.04304066672921181,-0.04264776930212975,0.0008644148707389832,0.0011091403663158416,-0.05447390526533127,-0.015700047090649604,-0.04797326289117336,0.0070832187309861185
24,-0.10926830143268619,0.2809884718486241,-0.0753251990037305,0.04683054744132927,0.19420278923852102,-1.0713941199438912,-0.3629211698259626,-0.8667728049414498,0.5898469686508179
25,0.06773080925146739,0.062491349462005824,-0.04871131262431542,0.010060812657078108,-0.022395882341596816,-0.13312820045070517,-0.01548453751537535,-0.1591488334039847,-0.003816954791545868
26,-0.13861267268657684,0.009698497131466866,0.02326788877447446,-0.01092454232275486,-0.0007031212250391642,-0.027252032111088436,0.029957438508669536,0.004495597754915555,0.02650626500447591
27,-0.5821898485484877,0.0741833875838079,-0.468682913403762,-0.04154285710108908,-0.2565838474976389,-0.26052702433968844,-0.0582105984029017,-0.1275454696856047,0.041988361969982325
28,-0.04283388495445251,0.07640557289123535,0.12248061656951904,0.01696452736854553,0.06817361950874329,-0.007398996949195862,-0.0023192690312862398,0.010556805729866028,0.09421788692474366
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,-0.12125261021511895,0.03261240358863558,-0.16135949109281814,0.052099215665033886,-0.20093851749386107,-0.31059494401727405,0.1378844939172268,-0.4558644715164389,0.01576012745499611
31,-0.01632434015090649,-0.028404431847425606,0.1764794267140902,-0.10301309709365551,0.21488958597183228,-0.16365359265070695,-0.08481926642931424,-0.004575011821893545,0.34784663640535796
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,-0.08528472076762807,-0.013697144660082731,0.026346508074890484,0.00032002715901895004,-0.02062166685407812,-0.0037656609307635913,0.05754483017054471,0.030315722931515087,-0.009833956137299538
34,0.07539655180538402,0.025664360207669875,-0.013321140233208151,-0.10652187039308689,0.07780773499432732,-0.2342953199849409,-0.06148921084754607,-0.09792785434161916,0.2586991909672232
35,-0.1514284974998898,0.1078249423040284,0.12701302849584156,-0.023276285992728338,0.15746785038047367,-0.07172660819358295,0.00729977794819408,0.03176993173029688,0.2676464087433285
36,-0.273741751909256,0.32320317439734936,0.6224522329866886,0.08266520197503269,0.407772961538285,0.05754612945020199,-0.01842433400452137,0.061840057373046875,0.4945022501051426
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.007877480525236864,0.4876853869511531,-0.01761822746350215,0.34991214825556827,-0.28273974244411176,-0.40795477537008434,0.3389951546604817,-1.2507847885672863,0.15855946793006018
39,-0.059128408248607926,-0.00982387363910675,-0.07985462592198299,-0.04235955385061411,0.013906075404240536,-0.0389255927159236,-0.04234375403477596,-0.019460726242799025,0.05232026485296396
40,-0.1657415802280108,0.38736029465993244,0.4591325720151265,0.2137973333398501,0.22266551355520883,0.036708831787109375,0.0797093069801728,0.017771678666273754,0.2941199118892352
41,-0.2602694475132486,0.2193923761015353,0.25264974003252777,0.09593958569609601,0.30788053086270456,-0.001371971291044484,-0.10378357768058777,0.18539489611335422,0.42971527058145276
42,-0.10538681944211324,0.48803062438964845,0.4681574463844299,0.36588892340660095,0.4600705941518148,0.13448453843593597,0.01912534236907959,0.4531818628311157,0.4874442219734192
43,-0.34360332590968984,0.5079104821932944,0.36734150271666677,0.3856987427724035,0.5826416505794776,0.021963409687343397,-0.1366501183886277,0.3973495458301745,0.6308742526330446
44,0.02675428260117769,0.3341041147708893,0.4049530565738678,0.2783117353916168,0.2854659378528595,0.1573832392692566,0.09436737895011901,0.31184389591217043,0.23857074677944184
45,0.24667904468683097,0.8964587358328012,0.9853091239929199,0.851356524687547,0.8740934958824744,0.5000336720393255,0.24857511887183556,0.890305207325862,0.6641529890207144
46,0.16163527369499206,0.2708778023719788,0.3165213704109192,0.30300456285476685,0.27115553617477417,0.20617374777793884,0.14910320043563843,0.32110702991485596,0.20484368801116942
47,0.3031372469332483,0.042089042564233146,0.42613888945844436,0.41082635190751815,0.2772320591741138,0.1845999989244673,0.5512626436021593,0.5436985890070597,0.4396769205729167
48,0.6701498561435275,0.8351242321508902,1.1376214027404785,1.0631619471090812,1.0963244129110266,0.9986821059827451,0.743391646279229,1.2317038553732413,0.8244906001620822
49,0.46364355087280273,-0.06461939444908729,0.2873957890730638,0.30782914620179397,0.5822402330545279,0.396911268050854,0.5259816463177021,0.6481466843531682,0.6475530037513146
50,0.4000647604465485,0.9832448437809944,0.7856426119804383,1.1141493692994118,1.1730757087469101,1.0025337994098664,0.7015546396374702,1.065939912199974,0.8255886316299439
51,-0.016287803649902344,0.05918302573263645,-0.15224675834178925,0.07690500468015671,-0.20390863716602325,-0.1389440894126892,0.23721866309642792,-0.4314424693584442,-0.10116364061832428
52,-0.6667106077075005,-0.8014664848645529,-1.3727097113927205,-0.6469630300998688,-0.5671619276205698,-0.05299787720044454,0.20465972274541855,-0.22886211052536964,-0.09043567130963008
53,0.026493540033698082,-0.06657996028661728,0.009430519305169582,0.0020393184386193752,0.06889515370130539,0.08193422853946686,0.10827753692865372,0.10983854532241821,0.13954932987689972
